,precision,recall,f1-score,support
0,1.0,0.84375,0.9152542372881356,32.0
1,0.9450171821305842,0.9615384615384616,0.953206239168111,286.0
2,0.967032967032967,0.8979591836734694,0.9312169312169313,294.0
3,0.9557522123893806,0.9191489361702128,0.9370932754880694,235.0
4,0.9633699633699634,0.9813432835820896,0.9722735674676525,268.0
5,0.8178438661710037,0.9649122807017544,0.8853118712273642,228.0
6,0.9814814814814815,0.9814814814814815,0.9814814814814815,54.0
7,0.9767441860465116,0.9180327868852459,0.9464788732394366,183.0
8,0.9651741293532339,0.9603960396039604,0.9627791563275435,202.0
9,0.9898477157360406,0.9898477157360406,0.9898477157360406,197.0
10,0.9883720930232558,0.9807692307692307,0.9845559845559845,260.0
11,0.9608938547486033,0.9555555555555556,0.958217270194986,180.0
12,0.9930313588850174,1.0,0.9965034965034965,285.0
13,0.9933554817275747,1.0,0.9966666666666666,299.0
14,1.0,0.9902912621359223,0.9951219512195122,103.0
15,1.0,0.9887640449438202,0.9943502824858756,89.0
16,1.0,1.0,1.0,48.0
17,0.9888888888888889,1.0,0.9944134078212291,178.0
18,0.9597701149425287,0.9766081871345029,0.9681159420289854,171.0
19,0.9629629629629629,0.8387096774193549,0.896551724137931,31.0
20,0.8392857142857143,0.9791666666666666,0.9038461538461539,48.0
21,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0
22,0.9824561403508771,0.9491525423728814,0.9655172413793103,59.0
23,0.9466666666666667,0.9594594594594594,0.9530201342281879,74.0
24,0.9736842105263158,0.8809523809523809,0.925,42.0
25,0.9579439252336449,0.9951456310679612,0.9761904761904763,206.0
26,0.9418604651162791,0.9642857142857143,0.9529411764705882,84.0
27,0.9142857142857143,0.9411764705882353,0.9275362318840579,34.0
28,1.0,0.9230769230769231,0.9600000000000001,65.0
29,0.9666666666666667,0.8529411764705882,0.90625,34.0
30,0.9814814814814815,0.8412698412698413,0.905982905982906,63.0
31,0.9724770642201835,0.9906542056074766,0.9814814814814815,107.0
32,0.9428571428571428,0.9166666666666666,0.9295774647887323,36.0
33,1.0,0.9886363636363636,0.9942857142857142,88.0
34,1.0,0.9361702127659575,0.967032967032967,47.0
35,1.0,0.9807692307692307,0.9902912621359222,156.0
36,0.918918918918919,0.9714285714285714,0.9444444444444445,35.0
37,1.0,1.0,1.0,17.0
38,0.9866666666666667,1.0,0.9932885906040269,296.0
39,1.0,1.0,1.0,49.0
40,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0
41,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
42,0.975609756097561,1.0,0.9876543209876543,40.0
accuracy,0.9656531531531531,0.9656531531531531,0.9656531531531531,0.9656531531531531
macro avg,0.9676602067733425,0.955663361811172,0.9606937893920601,5328.0
weighted avg,0.9671779820077122,0.9656531531531531,0.9657409770729393,5328.0
